Federative Unit/State,State abreviatio,"GDP(I) 2016 (1,000,000 R$)","GDP(I) 2017 (1,000,000 R$)","GDP(I) 2018 (1,000,000 R$)",Population est (2020)
São Paulo,SP," 2,038,757 "," 2,120,762 "," 2,210,562 ", 46289333 
Rio de Janeiro,RJ," 640,401 "," 671,606 "," 758,859 ", 17366189 
Minas Gerais,MG," 544,810 "," 576,376 "," 614,876 ", 21292666 
Rio Grande do Sul,RS," 408,790 "," 423,270 "," 457,294 ", 11422973 
Paraná,PR," 401,814 "," 421,498 "," 440,029 ", 11516840 
Santa Catarina,SC," 256,755 "," 277,270 "," 298,227 ", 7252502 
Bahia,BA," 258,739 "," 268,724 "," 286,240 ", 14930634 
Distrito Federal,DF," 235,540 "," 244,722 "," 254,817 ", 3055149 
Goiás,GO," 181,760 "," 191,948 "," 195,682 ", 7113540 
Pernambuco,PE," 167,345 "," 181,610 "," 186,352 ", 9616621 
Pará,PA," 138,108 "," 155,232 "," 161,350 ", 8690745 
Ceará,CE," 138,423 "," 147,922 "," 155,904 ", 9187103 
Mato Grosso,MT," 123,880 "," 126,846 "," 137,443 ", 3526220 
Espírito Santo,ES," 109,264 "," 113,400 "," 137,020 ", 4064052 
Mato Grosso do Sul,MS," 91,892 "," 96,396 "," 106,969 ", 2809394 
Amazonas,AM," 89,040 "," 93,240 "," 100,109 ", 4207714 
Maranhão,MA," 85,310 "," 89,543 "," 98,179 ", 7114598 
Rio Grande do Norte,RN," 59,677 "," 64,306 "," 66,970 ", 3534165 
Paraíba,PB," 59,105 "," 62,397 "," 64,374 ", 4039277 
Alagoas,AL," 49,469 "," 52,851 "," 54,413 ", 3351543 
Piauí,PI," 41,417 "," 45,366 "," 50,378 ", 3281480 
Rondônia,RO," 39,460 "," 43,516 "," 44,914 ", 1796460 
Sergipe,SE," 38,877 "," 40,711 "," 42,018 ", 2318822 
Tocantins,TO," 31,585 "," 34,108 "," 35,666 ", 1590248 
Amapá,AP," 14,342 "," 15,482 "," 16,795 ", 861773 
Acre,AC," 13,754 "," 14,273 "," 15,331 ", 894470 
Roraima,RR," 11,013 "," 12,105 "," 13,370 ", 631181 
